episode,total_steps,episode_reward,episode_length,interventions,violations_adequacy,violations_consistency,violations_stability,violations_timeliness,lagrange_0,lagrange_1,lagrange_2,lagrange_3
1,302,-490.69999999999953,302,15,0,0,0,0,0.0,0.0,0.0,0.0
2,604,-474.5999999999997,302,3,0,0,0,0,0.0,0.0,0.0,0.0
3,906,-512.3999999999994,302,11,0,0,0,0,0.0,0.0,0.0,0.0
4,1208,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
5,1510,-468.1999999999998,302,2,0,0,0,0,0.0,0.0,0.0,0.0
6,1812,-501.4999999999995,302,12,0,0,0,0,0.0,0.0,0.0,0.0
7,2114,-463.6999999999998,302,8,0,0,0,0,0.0,0.0,0.0,0.0
8,2416,-476.4999999999997,302,3,0,0,0,0,0.0,0.0,0.0,0.0
9,2718,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
10,3020,-478.2999999999997,302,4,0,0,0,0,0.0,0.0,0.0,0.0
11,3322,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
12,3624,-491.5999999999997,302,17,0,0,0,0,0.0,0.0,0.0,0.0
13,3926,-486.1999999999995,302,16,0,0,0,0,0.0,0.0,0.0,0.0
14,4228,132.59999999999997,302,6,0,0,0,0,0.0,0.0,0.0,0.0
15,4530,-481.8999999999995,302,4,0,0,0,0,0.0,0.0,0.0,0.0
16,4832,-458.7,302,12,0,0,0,0,0.0,0.0,0.0,0.0
17,5134,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
18,5436,-466.19999999999976,302,8,0,0,0,0,0.0,0.0,0.0,0.0
19,5738,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
20,6040,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
21,6342,144.2,302,4,0,0,0,0,0.0,0.0,0.0,0.0
22,6644,-476.59999999999974,302,12,0,0,0,0,0.0,0.0,0.0,0.0
23,6946,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
24,7248,-461.5999999999998,302,3,0,0,0,0,0.0,0.0,0.0,0.0
25,7550,148.60000000000002,302,3,0,0,0,0,0.0,0.0,0.0,0.0
26,7852,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
27,8154,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
28,8456,-479.5999999999996,302,4,0,0,0,0,0.0,0.0,0.0,0.0
29,8758,-474.2999999999998,302,8,0,0,0,0,0.0,0.0,0.0,0.0
30,9060,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
