episode,total_steps,episode_reward,episode_length,interventions,violations_adequacy,violations_consistency,violations_stability,violations_timeliness,lagrange_0,lagrange_1,lagrange_2,lagrange_3
1,302,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
2,604,-539.1999999999996,302,16,0,0,0,0,0.0,0.0,0.0,0.0
3,906,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
4,1208,-605.0000000000001,302,20,0,0,0,0,0.0,0.0,0.0,0.0
5,1510,-642.1000000000008,302,20,0,0,0,0,0.0,0.0,0.0,0.0
6,1812,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
7,2114,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
8,2416,-517.3999999999992,302,7,0,0,0,0,0.0,0.0,0.0,0.0
9,2718,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
10,3020,-658.0000000000011,302,6,0,0,0,0,0.0,0.0,0.0,0.0
11,3322,-633.7000000000006,302,20,0,0,0,0,0.0,0.0,0.0,0.0
12,3624,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
13,3926,-646.5000000000008,302,25,0,0,0,0,0.0,0.0,0.0,0.0
14,4228,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
15,4530,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
16,4832,-544.2999999999993,302,20,0,0,0,0,0.0,0.0,0.0,0.0
17,5134,-640.8000000000009,302,28,0,0,0,0,0.0,0.0,0.0,0.0
18,5436,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
19,5738,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
20,6040,-650.5000000000009,302,20,0,0,0,0,0.0,0.0,0.0,0.0
21,6342,-643.600000000001,302,28,0,0,0,0,0.0,0.0,0.0,0.0
22,6644,-656.5000000000013,302,8,0,0,0,0,0.0,0.0,0.0,0.0
23,6946,-551.0999999999995,302,34,0,0,0,0,0.0,0.0,0.0,0.0
24,7248,-622.6000000000003,302,26,0,0,0,0,0.0,0.0,0.0,0.0
25,7550,-613.8000000000002,302,11,0,0,0,0,0.0,0.0,0.0,0.0
26,7852,-653.6000000000008,302,8,0,0,0,0,0.0,0.0,0.0,0.0
27,8154,-655.2000000000012,302,16,0,0,0,0,0.0,0.0,0.0,0.0
28,8456,-655.900000000001,302,8,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
29,8758,-645.0000000000009,302,26,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
30,9060,-593.7000000000002,302,24,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
31,9362,-3624.0,302,302,0,302,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
32,9664,-613.4000000000003,302,12,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
33,9966,-3624.0,302,302,0,302,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
34,10268,-646.100000000001,302,24,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
35,10570,-51.5000000000002,302,13,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
36,10872,-660.9000000000012,302,4,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
37,11174,-632.9000000000004,302,19,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
38,11476,-633.2000000000007,302,22,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
39,11778,-658.3000000000012,302,4,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
40,12080,-3624.0,302,302,0,302,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
41,12382,-650.2000000000008,302,24,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
42,12684,-3624.0,302,302,0,302,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
43,12986,-3624.0,302,302,0,302,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
44,13288,-33.399999999999935,302,10,0,0,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
45,13590,-3624.0,302,302,0,302,0,0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
