update_idx,total_steps,policy_loss,value_loss,entropy,constraint_loss_0,constraint_loss_1,constraint_loss_2,constraint_loss_3,constraint_violation_0,constraint_violation_1,constraint_violation_2,constraint_violation_3,lagrange_0,lagrange_1,lagrange_2,lagrange_3
0,8192,-0.06223197661620361,2051.8788079619408,0.6867634319351055,17655.365234375,123403.15625,8325.0029296875,10907.5869140625,17655.267578125,123403.0859375,8324.90625,10907.4833984375,0.0,0.0,0.0,0.0
1,16384,-0.06058270557832657,1957.6085457801819,0.46660944579343777,226848512.0,1265732992.0,133233232.0,143957024.0,226848512.0,1265732992.0,133233232.0,143957024.0,17.6552677154541,123.40309143066406,8.324906349182129,10.90748405456543
2,24576,-0.06208084858371876,2097.86530739069,0.43707450208603404,10142938112.0,25430773760.0,10568502272.0,7221190656.0,10142938112.0,25430773760.0,10568502272.0,7221190656.0,226866.171875,1265856.375,133241.5625,143967.9375
3,32768,-0.06232334025844466,2127.652937054634,0.532217431551544,57237180416.0,119941849088.0,68275822592.0,41229000704.0,57237180416.0,119941849088.0,68275822592.0,41229000704.0,10369805.0,26696630.0,10701745.0,7365159.0
4,40960,-0.0638968329490126,1404.8995638638735,0.5982275627029594,211965804544.0,387820486656.0,252249571328.0,152010555392.0,211965804544.0,387820486656.0,252249571328.0,152010555392.0,67606992.0,146638480.0,78977568.0,48594164.0
5,49152,-0.07002133361947926,1188.0172543674707,0.36855197879776824,568270061568.0,972312739840.0,681947824128.0,418697445376.0,568270061568.0,972312739840.0,681947824128.0,418697445376.0,279572800.0,534459008.0,331227136.0,200604720.0
6,57344,-0.07437873042636056,1485.238415569067,0.35732152542914264,1523087048704.0,2530865053696.0,1873588125696.0,1139626868736.0,1523087048704.0,2530865053696.0,1873588125696.0,1139626868736.0,847842880.0,1506771712.0,1013174976.0,619302208.0
7,65536,-0.05382393809850328,1587.8963578343391,0.3746254614525242,2219974852608.0,3581457465344.0,2731292753920.0,1671238778880.0,2219974852608.0,3581457465344.0,2731292753920.0,1671238778880.0,2370929920.0,4037636864.0,2886763264.0,1758929152.0
8,73728,-0.08050016941797367,2087.143983602524,0.16821625998272793,5278300897280.0,8351204245504.0,6489227395072.0,3986629853184.0,5278300897280.0,8351204245504.0,6489227395072.0,3986629853184.0,4590904832.0,7619094528.0,5618056192.0,3430168064.0
9,81920,-0.057981168120932125,640.1119226440787,0.2522521343489643,7400810610688.0,11566319665152.0,9137540825088.0,5609809772544.0,7400810610688.0,11566319665152.0,9137540825088.0,5609809772544.0,9869205504.0,15970299904.0,12107284480.0,7416798208.0
10,90112,-0.08112743831770786,818.3137781023979,0.17412273890295182,12702337466368.0,19767998021632.0,15838565367808.0,9694515036160.0,12702337466368.0,19767998021632.0,15838565367808.0,9694515036160.0,17270016000.0,27536621568.0,21244825600.0,13026608128.0
11,98304,-0.07327816351971705,472.322548776865,0.20915496593806893,16141243121664.0,25010018189312.0,20257053868032.0,12384686047232.0,16141243121664.0,25010018189312.0,20257053868032.0,12384686047232.0,29972353024.0,47304622080.0,37083389952.0,22721122304.0
12,106496,-0.0866517823351387,996.3271333277225,0.27334462195722153,23921202036736.0,36817642455040.0,30016775651328.0,18410167599104.0,23921202036736.0,36817642455040.0,30016775651328.0,18410167599104.0,46113595392.0,72314642432.0,57340444672.0,35105808384.0
