episode,total_steps,episode_reward,episode_length,interventions,violations_adequacy,violations_consistency,violations_stability,violations_timeliness,lagrange_0,lagrange_1,lagrange_2,lagrange_3
1,302,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
2,604,51.999999999999986,302,24,0,0,0,0,0.0,0.0,0.0,0.0
3,906,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
4,1208,-564.5999999999998,302,44,0,0,0,0,0.0,0.0,0.0,0.0
5,1510,-600.0999999999999,302,12,0,0,0,0,0.0,0.0,0.0,0.0
6,1812,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
7,2114,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
8,2416,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
9,2718,-587.7,302,18,0,0,0,0,0.0,0.0,0.0,0.0
10,3020,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
11,3322,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
12,3624,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
13,3926,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
14,4228,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
15,4530,-569.9999999999998,302,16,0,0,0,0,0.0,0.0,0.0,0.0
16,4832,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
17,5134,-582.3,302,12,0,0,0,0,0.0,0.0,0.0,0.0
18,5436,-543.0999999999997,302,19,0,0,0,0,0.0,0.0,0.0,0.0
19,5738,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
20,6040,14.600000000000012,302,12,0,0,0,0,0.0,0.0,0.0,0.0
21,6342,-553.2999999999995,302,15,0,0,0,0,0.0,0.0,0.0,0.0
22,6644,-597.1,302,16,0,0,0,0,0.0,0.0,0.0,0.0
23,6946,23.500000000000014,302,24,0,0,0,0,0.0,0.0,0.0,0.0
24,7248,-568.5999999999997,302,20,0,0,0,0,0.0,0.0,0.0,0.0
25,7550,-595.2,302,24,0,0,0,0,0.0,0.0,0.0,0.0
26,7852,33.000000000000014,302,24,0,0,0,0,0.0,0.0,0.0,0.0
27,8154,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
28,8456,-3624.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
29,8758,12.7,302,20,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
30,9060,-600.8,302,7,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
31,9362,-3624.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
32,9664,-597.0,302,14,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
33,9966,-602.3,302,6,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
34,10268,-3624.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
35,10570,-577.0999999999999,302,16,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
36,10872,-3624.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
37,11174,-597.7,302,19,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
38,11476,-596.3,302,8,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
39,11778,-664.0000000000014,302,0,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
40,12080,-3624.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
41,12382,-3624.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
42,12684,-596.6000000000001,302,20,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
43,12986,-561.5999999999997,302,16,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
44,13288,-3624.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
45,13590,-3624.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
46,13892,-3624.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
47,14194,-599.1,302,11,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
48,14496,-594.0999999999999,302,24,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
49,14798,-3624.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
50,15100,-3020.0,302,302,0,302,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
51,15402,-602.1,302,18,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
52,15704,-601.8,302,19,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
53,16006,-597.3,302,8,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
54,16308,-595.9,302,12,0,0,0,0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
55,16610,-594.2,302,10,0,0,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
56,16912,-3624.0,302,302,0,302,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
57,17214,-3624.0,302,302,0,302,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
58,17516,14.600000000000001,302,12,0,0,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
59,17818,-591.2,302,6,0,0,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
60,18120,-3624.0,302,302,0,302,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
61,18422,-3624.0,302,302,0,302,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
62,18724,-3624.0,302,302,0,302,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
63,19026,-597.4,302,5,0,0,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
64,19328,-593.5999999999999,302,11,0,0,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
65,19630,-3624.0,302,302,0,302,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
66,19932,-590.0,302,8,0,0,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
67,20234,-600.2,302,24,0,0,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
68,20536,-593.0,302,24,0,0,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
69,20838,-3624.0,302,302,0,302,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
70,21140,-589.8,302,16,0,0,0,0,221907.203125,50930.80859375,808197.8125,285785.53125
