episode,total_steps,episode_reward,episode_length,interventions,violations_adequacy,violations_consistency,violations_stability,violations_timeliness,lagrange_0,lagrange_1,lagrange_2,lagrange_3
1,302,-540.4999999999998,302,12,0,0,0,0,0.0,0.0,0.0,0.0
2,604,-553.5,302,22,0,0,0,0,0.0,0.0,0.0,0.0
3,906,-545.1999999999998,302,7,0,0,0,0,0.0,0.0,0.0,0.0
4,1208,-542.4999999999998,302,28,0,0,0,0,0.0,0.0,0.0,0.0
5,1510,-562.8999999999999,302,23,0,0,0,0,0.0,0.0,0.0,0.0
6,1812,48.89999999999999,302,22,0,0,0,0,0.0,0.0,0.0,0.0
7,2114,-525.4999999999997,302,20,0,0,0,0,0.0,0.0,0.0,0.0
8,2416,-555.5999999999999,302,28,0,0,0,0,0.0,0.0,0.0,0.0
9,2718,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
10,3020,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
11,3322,-516.0999999999997,302,16,0,0,0,0,0.0,0.0,0.0,0.0
12,3624,-518.4999999999995,302,20,0,0,0,0,0.0,0.0,0.0,0.0
13,3926,-557.8999999999999,302,18,0,0,0,0,0.0,0.0,0.0,0.0
14,4228,-549.1999999999998,302,20,0,0,0,0,0.0,0.0,0.0,0.0
15,4530,-542.0999999999997,302,11,0,0,0,0,0.0,0.0,0.0,0.0
16,4832,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
17,5134,-544.2999999999997,302,32,0,0,0,0,0.0,0.0,0.0,0.0
18,5436,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
19,5738,-552.2999999999998,302,20,0,0,0,0,0.0,0.0,0.0,0.0
20,6040,-545.3,302,23,0,0,0,0,0.0,0.0,0.0,0.0
21,6342,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
22,6644,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
23,6946,-557.1999999999997,302,48,0,0,0,0,0.0,0.0,0.0,0.0
24,7248,63.19999999999997,302,8,0,0,0,0,0.0,0.0,0.0,0.0
25,7550,-561.1999999999998,302,28,0,0,0,0,0.0,0.0,0.0,0.0
26,7852,-513.2999999999995,302,16,0,0,0,0,0.0,0.0,0.0,0.0
27,8154,-538.2999999999997,302,20,0,0,0,0,0.0,0.0,0.0,0.0
