episode,total_steps,episode_reward,episode_length,interventions,violations_adequacy,violations_consistency,violations_stability,violations_timeliness,lagrange_0,lagrange_1,lagrange_2,lagrange_3
1,302,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
2,604,-525.2999999999993,302,48,0,0,0,0,0.0,0.0,0.0,0.0
3,906,-543.8999999999993,302,24,0,0,0,0,0.0,0.0,0.0,0.0
4,1208,50.299999999999926,302,18,0,0,0,0,0.0,0.0,0.0,0.0
5,1510,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
6,1812,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
7,2114,-518.7999999999994,302,24,0,0,0,0,0.0,0.0,0.0,0.0
8,2416,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
9,2718,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
10,3020,-532.1999999999994,302,20,0,0,0,0,0.0,0.0,0.0,0.0
11,3322,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
12,3624,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
13,3926,-570.4999999999995,302,43,0,0,0,0,0.0,0.0,0.0,0.0
14,4228,-571.4999999999998,302,30,0,0,0,0,0.0,0.0,0.0,0.0
15,4530,-556.9999999999993,302,24,0,0,0,0,0.0,0.0,0.0,0.0
16,4832,-563.1999999999995,302,40,0,0,0,0,0.0,0.0,0.0,0.0
17,5134,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
18,5436,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
19,5738,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
20,6040,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
21,6342,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
22,6644,-579.4999999999999,302,52,0,0,0,0,0.0,0.0,0.0,0.0
23,6946,-508.0999999999993,302,20,0,0,0,0,0.0,0.0,0.0,0.0
24,7248,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
25,7550,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
26,7852,-556.7999999999993,302,28,0,0,0,0,0.0,0.0,0.0,0.0
27,8154,12.900000000000048,302,66,0,0,0,0,0.0,0.0,0.0,0.0
28,8456,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
29,8758,-590.8,302,58,0,0,0,0,0.0,0.0,0.0,0.0
30,9060,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
31,9362,86.9999999999999,302,22,0,0,0,0,0.0,0.0,0.0,0.0
32,9664,-537.4999999999993,302,24,0,0,0,0,0.0,0.0,0.0,0.0
33,9966,-581.0999999999998,302,34,0,0,0,0,0.0,0.0,0.0,0.0
34,10268,-540.8999999999994,302,37,0,0,0,0,0.0,0.0,0.0,0.0
