episode,total_steps,episode_reward,episode_length,interventions,violations_adequacy,violations_consistency,violations_stability,violations_timeliness,lagrange_0,lagrange_1,lagrange_2,lagrange_3
1,302,-520.9999999999998,302,36,0,0,0,0,0.0,0.0,0.0,0.0
2,604,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
3,906,-579.6999999999996,302,92,0,0,0,0,0.0,0.0,0.0,0.0
4,1208,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
5,1510,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
6,1812,-533.9,302,62,0,0,0,0,0.0,0.0,0.0,0.0
7,2114,-511.4,302,36,0,0,0,0,0.0,0.0,0.0,0.0
8,2416,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
9,2718,89.59999999999998,302,68,0,0,0,0,0.0,0.0,0.0,0.0
10,3020,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
11,3322,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
12,3624,-501.89999999999986,302,40,0,0,0,0,0.0,0.0,0.0,0.0
13,3926,-557.4999999999999,302,70,0,0,0,0,0.0,0.0,0.0,0.0
14,4228,-522.0999999999999,302,68,0,0,0,0,0.0,0.0,0.0,0.0
15,4530,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
16,4832,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
17,5134,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
18,5436,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
19,5738,-509.29999999999984,302,28,0,0,0,0,0.0,0.0,0.0,0.0
20,6040,-520.5,302,74,0,0,0,0,0.0,0.0,0.0,0.0
21,6342,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
22,6644,-470.99999999999983,302,9,0,0,0,0,0.0,0.0,0.0,0.0
23,6946,-512.9999999999994,302,20,0,0,0,0,0.0,0.0,0.0,0.0
24,7248,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
25,7550,-551.1999999999999,302,49,0,0,0,0,0.0,0.0,0.0,0.0
26,7852,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
27,8154,-522.0999999999999,302,51,0,0,0,0,0.0,0.0,0.0,0.0
28,8456,-517.8,302,32,0,0,0,0,0.0,0.0,0.0,0.0
29,8758,-526.5999999999997,302,64,0,0,0,0,0.0,0.0,0.0,0.0
30,9060,-518.3999999999996,302,43,0,0,0,0,0.0,0.0,0.0,0.0
31,9362,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
32,9664,-604.5999999999996,302,80,0,0,0,0,0.0,0.0,0.0,0.0
33,9966,-535.6999999999998,302,68,0,0,0,0,0.0,0.0,0.0,0.0
34,10268,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
