update_idx,total_steps,policy_loss,value_loss,entropy,constraint_loss_0,constraint_loss_1,constraint_loss_2,constraint_loss_3,constraint_violation_0,constraint_violation_1,constraint_violation_2,constraint_violation_3,lagrange_0,lagrange_1,lagrange_2,lagrange_3
0,8192,-0.03100925633953011,3018.1826733350754,0.5598434363637352,78595.0859375,8855.017578125,42598.12890625,106972.765625,78594.9453125,8854.9248046875,42598.04296875,106972.65625,0.0,0.0,0.0,0.0
1,16384,-0.03877091394861054,2195.26032269001,0.7078560721129179,611961664.0,110469032.0,382991200.0,870989056.0,611961664.0,110469032.0,382991200.0,870989056.0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
2,24576,-0.04475950128289696,2040.9118347167969,0.44938331574667245,20091920384.0,10764843008.0,14242803712.0,24250814464.0,20091920384.0,10764843008.0,14242803712.0,24250814464.0,612040.3125,110477.890625,383033.8125,871096.125
3,32768,-0.06137042739919707,2142.663389146328,0.43285017111338675,112796278784.0,81458151424.0,84206288896.0,133453987840.0,112796278784.0,81458151424.0,84206288896.0,133453987840.0,20703962.0,10875322.0,14625838.0,25121912.0
4,40960,-0.06572739278544759,2662.088407754898,0.22711495195835596,440275795968.0,354203238400.0,329178218496.0,512904265728.0,440275795968.0,354203238400.0,329178218496.0,512904265728.0,133500248.0,92333472.0,98832136.0,158575904.0
5,49152,-0.057737200108931575,1591.5323034524918,0.32049050759815145,1034012524544.0,881397465088.0,770185166848.0,1190766575616.0,1034012524544.0,881397465088.0,770185166848.0,1190766575616.0,573776064.0,446536736.0,428010368.0,671480192.0
6,57344,-0.07069823061647185,1860.3238978981972,0.35503450297983363,1834128637952.0,1664919273472.0,1388681363456.0,2115917053952.0,1834128637952.0,1664919273472.0,1388681363456.0,2115917053952.0,1607788544.0,1327934208.0,1198195584.0,1862246784.0
7,65536,-0.07885123969481356,1496.89411637187,0.25902589633187745,4085912174592.0,3805986947072.0,3088846684160.0,4682392535040.0,4085912174592.0,3805986947072.0,3088846684160.0,4682392535040.0,3441917440.0,2992853504.0,2586876928.0,3978163968.0
8,73728,-0.06549946737868595,1694.7802194654942,0.41909796495747287,6197666119680.0,5923108552704.0,4693203877888.0,7082742906880.0,6197666119680.0,5923108552704.0,4693203877888.0,7082742906880.0,7527829504.0,6798840832.0,5675723776.0,8660556800.0
9,81920,-0.07844942389601783,2018.430201470852,0.2459345799215953,11921835163648.0,11587813376000.0,9031592706048.0,13592734728192.0,11921835163648.0,11587813376000.0,9031592706048.0,13592734728192.0,13725495296.0,12721949696.0,10368927744.0,15743299584.0
