episode,total_steps,episode_reward,episode_length,interventions,violations_adequacy,violations_consistency,violations_stability,violations_timeliness,lagrange_0,lagrange_1,lagrange_2,lagrange_3
1,302,-613.6000000000003,302,34,0,0,0,0,0.0,0.0,0.0,0.0
2,604,-641.0000000000005,302,48,0,0,0,0,0.0,0.0,0.0,0.0
3,906,-611.7000000000005,302,62,0,0,0,0,0.0,0.0,0.0,0.0
4,1208,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
5,1510,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
6,1812,-646.4000000000013,302,36,0,0,0,0,0.0,0.0,0.0,0.0
7,2114,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
8,2416,-642.5000000000008,302,16,0,0,0,0,0.0,0.0,0.0,0.0
9,2718,-524.6999999999992,302,20,0,0,0,0,0.0,0.0,0.0,0.0
10,3020,-586.4,302,48,0,0,0,0,0.0,0.0,0.0,0.0
11,3322,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
12,3624,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
13,3926,-593.4000000000003,302,80,0,0,0,0,0.0,0.0,0.0,0.0
14,4228,-579.1999999999996,302,40,0,0,0,0,0.0,0.0,0.0,0.0
15,4530,-638.3000000000009,302,48,0,0,0,0,0.0,0.0,0.0,0.0
16,4832,-638.3000000000003,302,48,0,0,0,0,0.0,0.0,0.0,0.0
17,5134,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
18,5436,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
19,5738,-636.400000000001,302,35,0,0,0,0,0.0,0.0,0.0,0.0
20,6040,-633.9000000000004,302,64,0,0,0,0,0.0,0.0,0.0,0.0
21,6342,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
22,6644,-624.9000000000009,302,70,0,0,0,0,0.0,0.0,0.0,0.0
23,6946,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
24,7248,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
25,7550,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
26,7852,-645.400000000001,302,36,0,0,0,0,0.0,0.0,0.0,0.0
27,8154,-26.49999999999992,302,28,0,0,0,0,0.0,0.0,0.0,0.0
28,8456,-532.7999999999993,302,44,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
29,8758,-3624.0,302,302,0,302,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
30,9060,-3020.0,302,302,0,302,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
31,9362,-3624.0,302,302,0,302,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
32,9664,-627.7000000000008,302,76,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
33,9966,-630.800000000001,302,52,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
34,10268,-611.9000000000003,302,104,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
35,10570,-518.2999999999993,302,16,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
36,10872,-617.8000000000004,302,48,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
37,11174,-521.299999999999,302,15,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
38,11476,-641.0000000000008,302,48,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
39,11778,-3020.0,302,302,0,302,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
40,12080,-547.3999999999992,302,34,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
41,12382,-3624.0,302,302,0,302,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
42,12684,-3624.0,302,302,0,302,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
43,12986,-32.19999999999991,302,38,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
44,13288,-39.400000000000034,302,44,0,0,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
45,13590,-3624.0,302,302,0,302,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
46,13892,-3624.0,302,302,0,302,0,0,78.5949478149414,8.854925155639648,42.598045349121094,106.97266387939453
