episode,total_steps,episode_reward,episode_length,interventions,violations_adequacy,violations_consistency,violations_stability,violations_timeliness,lagrange_0,lagrange_1,lagrange_2,lagrange_3
1,302,-554.7999999999995,302,21,0,0,0,0,0.0,0.0,0.0,0.0
2,604,-594.8999999999999,302,20,0,0,0,0,0.0,0.0,0.0,0.0
3,906,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
4,1208,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
5,1510,-540.6999999999997,302,28,0,0,0,0,0.0,0.0,0.0,0.0
6,1812,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
7,2114,-595.1000000000003,302,48,0,0,0,0,0.0,0.0,0.0,0.0
8,2416,-600.7000000000004,302,36,0,0,0,0,0.0,0.0,0.0,0.0
9,2718,-562.2999999999996,302,28,0,0,0,0,0.0,0.0,0.0,0.0
10,3020,-612.6999999999998,302,36,0,0,0,0,0.0,0.0,0.0,0.0
11,3322,-541.6999999999994,302,28,0,0,0,0,0.0,0.0,0.0,0.0
12,3624,-611.6000000000004,302,36,0,0,0,0,0.0,0.0,0.0,0.0
13,3926,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
14,4228,47.399999999999906,302,16,0,0,0,0,0.0,0.0,0.0,0.0
15,4530,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
16,4832,-619.1000000000004,302,24,0,0,0,0,0.0,0.0,0.0,0.0
17,5134,-587.1999999999997,302,32,0,0,0,0,0.0,0.0,0.0,0.0
18,5436,8.400000000000006,302,28,0,0,0,0,0.0,0.0,0.0,0.0
19,5738,-601.9000000000002,302,52,0,0,0,0,0.0,0.0,0.0,0.0
20,6040,-569.0999999999997,302,24,0,0,0,0,0.0,0.0,0.0,0.0
21,6342,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
22,6644,-606.5999999999999,302,12,0,0,0,0,0.0,0.0,0.0,0.0
23,6946,-610.4000000000001,302,48,0,0,0,0,0.0,0.0,0.0,0.0
24,7248,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
