update_idx,total_steps,policy_loss,value_loss,entropy,constraint_loss_0,constraint_loss_1,constraint_loss_2,constraint_loss_3,constraint_violation_0,constraint_violation_1,constraint_violation_2,constraint_violation_3,lagrange_0,lagrange_1,lagrange_2,lagrange_3
0,8192,0.027606914291936846,3106.8423968553543,0.9930351190268993,4229.8115234375,2584.70947265625,147420.078125,43207.0859375,4229.7138671875,2584.606689453125,147419.96875,43206.9921875,0.0,0.0,0.0,0.0
1,16384,-0.056317632274840435,2033.9637865424156,0.9668415861669928,61072928.0,40052080.0,980888128.0,326167392.0,61072928.0,40052080.0,980888128.0,326167392.0,4.2297139167785645,2.584606885910034,147.41998291015625,43.206993103027344
2,24576,-0.05533142623335152,1422.1630708277225,0.7448396320687607,9320217600.0,8807306240.0,25205770240.0,16115276800.0,9320217600.0,8807306240.0,25205770240.0,16115276800.0,61077.16015625,40054.66796875,981035.625,326210.625
3,32768,-0.03354191719972732,786.6659826934338,0.7263343426748179,49805070336.0,46209122304.0,91414167552.0,73610895360.0,49805070336.0,46209122304.0,91414167552.0,73610895360.0,9381295.0,8847362.0,26186808.0,16441489.0
4,40960,-0.0490805217250454,2292.9207295775414,0.5590434903861023,258242035712.0,238412169216.0,366174404608.0,305056776192.0,258242035712.0,238412169216.0,366174404608.0,305056776192.0,59186368.0,55056488.0,117600976.0,90052384.0
5,49152,-0.03127364674492128,2148.5211014151573,0.4492102667718427,587735695360.0,528958947328.0,765556817920.0,675423649792.0,587735695360.0,528958947328.0,765556817920.0,675423649792.0,317428416.0,293468672.0,483775424.0,395109184.0
6,57344,-0.0435528331149726,1885.5981476902962,0.4342392933613155,1508248125440.0,1350780059648.0,1823124357120.0,1655415898112.0,1508248125440.0,1350780059648.0,1823124357120.0,1655415898112.0,905164160.0,822427648.0,1249332224.0,1070532864.0
7,65536,-0.06862698750501295,1908.1503070294857,0.33783069347555283,2931229720576.0,2619354644480.0,3373147881472.0,3130302398464.0,2931229720576.0,2619354644480.0,3373147881472.0,3130302398464.0,2413412352.0,2173207808.0,3072456704.0,2725948928.0
8,73728,-0.05937968563102913,2701.1523681879044,0.22712584328837693,6224199286784.0,5545744400384.0,6941086580736.0,6576518201344.0,6224199286784.0,5545744400384.0,6941086580736.0,6576518201344.0,5344642048.0,4792562688.0,6445604864.0,5856251392.0
9,81920,-0.0556333413323955,1781.458875477314,0.25047393340355484,6980667703296.0,6198816407552.0,7494375571456.0,7171725066240.0,6980667703296.0,6198816407552.0,7494375571456.0,7171725066240.0,11568841728.0,10338308096.0,13386691584.0,12432770048.0
10,90112,-0.07083636027709872,1444.4409874230623,0.3900882297893986,10335548342272.0,9151727009792.0,10807388667904.0,10451899383808.0,10335548342272.0,9151727009792.0,10807388667904.0,10451899383808.0,18549510144.0,16537124864.0,20881068032.0,19604496384.0
11,98304,-0.06536079838679143,1385.4067791104317,0.3082604932860704,18221497319424.0,16087409229824.0,18816557907968.0,18424709251072.0,18221497319424.0,16087409229824.0,18816557907968.0,18424709251072.0,28885057536.0,25688852480.0,31688458240.0,30056394752.0
12,106496,-0.07865041145214491,1007.433245152235,0.3990306508203503,28065660928000.0,24727829610496.0,28559882059776.0,28212537065472.0,28065660928000.0,24727829610496.0,28559882059776.0,28212537065472.0,47106555904.0,41776263168.0,50505015296.0,48481103872.0
13,114688,-0.08191849061131506,1671.1529546380043,0.2352718848560471,35326600937472.0,31073113210880.0,35323513929728.0,35047440646144.0,35326600937472.0,31073113210880.0,35323513929728.0,35047440646144.0,75172216832.0,66504093696.0,79064899584.0,76693643264.0
14,122880,-0.07502718087016547,1972.919558018446,0.4185883198515512,48003180134400.0,42142915362816.0,47571095519232.0,47526115803136.0,48003180134400.0,42142915362816.0,47571095519232.0,47526115803136.0,110498824192.0,97577205760.0,114388418560.0,111741083648.0
15,131072,-0.0910926660098994,1034.4475586116314,0.07438783344548483,88780086181888.0,77829781848064.0,86848491749376.0,87155674185728.0,88780086181888.0,77829781848064.0,86848491749376.0,87155674185728.0,158502010880.0,139720130560.0,161959510016.0,159267192832.0
16,139264,-0.0823592615065536,1518.232578098774,0.22315075341248303,93543305576448.0,81790563778560.0,90779494121472.0,91541968257024.0,93543305576448.0,81790563778560.0,90779494121472.0,91541968257024.0,247282106368.0,217549914112.0,248808013824.0,246422863872.0
17,147456,-0.0751931505947141,1681.9354172945023,0.0994571313873962,151599494201344.0,132501704015872.0,145605951225856.0,147375880404992.0,151599494201344.0,132501704015872.0,145605951225856.0,147375880404992.0,340825407488.0,299340464128.0,339587497984.0,337964826624.0
18,155648,-0.09211517684525461,843.1033688038588,0.16578430029875335,168520809709568.0,147056039559168.0,160839361363968.0,163348410793984.0,168520809709568.0,147056039559168.0,160839361363968.0,163348410793984.0,492424921088.0,431842164736.0,485193449472.0,485340708864.0
19,163840,-0.08754299818883737,995.0284030884504,0.06598631058568571,230355453870080.0,200807756595200.0,219346865487872.0,223821248331776.0,230355453870080.0,200807756595200.0,219346865487872.0,223821248331776.0,660945764352.0,578898231296.0,646032785408.0,648689090560.0
20,172032,-0.07818686480368342,1462.5908119380474,0.10002066041101898,283660477530112.0,247217763909632.0,268428728336384.0,274500654465024.0,283660477530112.0,247217763909632.0,268428728336384.0,274500654465024.0,891301265408.0,779705974784.0,865379680256.0,872510390272.0
21,180224,-0.09027274782420136,650.7426500618458,0.044441708717897654,339417474531328.0,295307657084928.0,320423417872384.0,328718643888128.0,339417474531328.0,295307657084928.0,320423417872384.0,328718643888128.0,1174961782784.0,1026923757568.0,1133808451584.0,1147011072000.0
22,188416,-0.08806515780270274,799.4313464164734,0.1426686806245243,361319526039552.0,313997677035520.0,339803786706944.0,349478468976640.0,361319526039552.0,313997677035520.0,339803786706944.0,349478468976640.0,1514379280384.0,1322231398400.0,1454231912448.0,1475729686528.0
23,196608,-0.0885720700116508,413.31615587323904,0.3352948446990922,388164346707968.0,336936057176064.0,363418791968768.0,374430752571392.0,388164346707968.0,336936057176064.0,363418791968768.0,374430752571392.0,1875698778112.0,1636229054464.0,1794035679232.0,1825208139776.0
24,204800,-0.0766899010313864,664.3717567026615,0.2677628926030593,468121135611904.0,405963026726912.0,437135496708096.0,451392036667392.0,468121135611904.0,405963026726912.0,437135496708096.0,451392036667392.0,2263863001088.0,1973165096960.0,2157454557184.0,2199638769664.0
25,212992,-0.08041501836396492,437.89980598166585,0.3418003841798054,607494468534272.0,527100331163648.0,565202663768064.0,584566188277760.0,607494468534272.0,527100331163648.0,565202663768064.0,584566188277760.0,2731984027648.0,2379128242176.0,2594590162944.0,2651030814720.0
26,221184,-0.06764948927411751,464.94129491597414,0.20563094178942265,664221792600064.0,576547752771584.0,615876432756736.0,637891361374208.0,664221792600064.0,576547752771584.0,615876432756736.0,637891361374208.0,3339478630400.0,2906228523008.0,3159792812032.0,3235596992512.0
27,229376,-0.08784641727106646,589.1714788973331,0.15764604167998186,867939607642112.0,753686296920064.0,802997957296128.0,833058970271744.0,867939607642112.0,753686296920064.0,802997957296128.0,833058970271744.0,4003700408320.0,3482776240128.0,3775669207040.0,3873488502784.0
28,237568,-0.0848114366081063,473.0484941676259,0.15647589946638618,1097928663891968.0,954077055811584.0,1013455851094016.0,1053160139390976.0,1097928663891968.0,954077055811584.0,1013455851094016.0,1053160139390976.0,4871640055808.0,4236462522368.0,4578667397120.0,4706547531776.0
29,245760,-0.07152568332821829,530.451518766582,0.3237651719537098,733279632228352.0,637355966857216.0,673397386248192.0,699660238848000.0,733279632228352.0,637355966857216.0,673397386248192.0,699660238848000.0,5969568858112.0,5190539804672.0,5592123441152.0,5759707906048.0
30,253952,-0.07354359188047965,789.3338217884302,0.2317395615609712,1389389171130368.0,1208569705791488.0,1278542776107008.0,1332497094803456.0,1389389171130368.0,1208569705791488.0,1278542776107008.0,1332497094803456.0,6702848540672.0,5827895754752.0,6265521045504.0,6459368144896.0
31,262144,-0.07410093357702863,406.9124130643904,0.14015218679924146,1247230988124160.0,1086206892834816.0,1141986169978880.0,1190169797459968.0,1247230988124160.0,1086206892834816.0,1141986169978880.0,1190169797459968.0,8092237955072.0,7036465577984.0,7544063918080.0,7791865495552.0
